MET file converted from FVCOM file2014_12Kmwrf.dat
KT = coef of heat exchange (watts/m2/C) (not used), TE = equil temp (C) (not used)
 IO = PAR (E/m2/day), FD=Fraction of day, and WS = wind speed (m/s)
    JDAY    KT      TE      IO      FD      WS  
   0.000  14.940  23.030   7.904   0.327   1.510
   0.500  14.940  23.030   7.904   0.327   1.510
   1.500  14.940  23.030   3.579   0.327   7.986
   2.500  14.940  23.030  13.182   0.327   4.903
   3.500  14.940  23.030  14.622   0.327   3.111
   4.500  14.940  23.030  14.526   0.326   3.875
   5.500  14.940  23.030  10.279   0.324   5.775
   6.500  14.940  23.030   2.936   0.322   7.733
   7.500  14.940  23.030   3.913   0.321   7.857
   8.500  14.940  23.030   5.191   0.319   7.177
   9.500  14.940  23.030   3.160   0.317   8.835
  10.500  14.940  23.030   6.494   0.315  12.387
  11.500  14.940  23.030   5.220   0.318   6.436
  12.500  14.940  23.030   8.795   0.321   5.465
  13.500  14.940  23.030   9.770   0.323   3.326
  14.500  14.940  23.030  15.397   0.326   2.838
  15.500  14.940  23.030  15.130   0.328   4.353
  16.500  14.940  23.030  16.472   0.331   3.776
  17.500  14.940  23.030  16.265   0.333   5.181
  18.500  14.940  23.030  15.099   0.333   3.855
  19.500  14.940  23.030  17.176   0.333   2.338
  20.500  14.940  23.030  13.059   0.333   5.662
  21.500  14.940  23.030  13.646   0.333   3.535
  22.500  14.940  23.030  17.910   0.333   4.685
  23.500  14.940  23.030  17.848   0.333   2.425
  24.500  14.940  23.030  19.006   0.333   3.152
  25.500  14.940  23.030  18.422   0.338   2.928
  26.500  14.940  23.030   8.741   0.344   3.727
  27.500  14.940  23.030   4.519   0.349   3.897
  28.500  14.940  23.030   3.970   0.354   6.698
  29.500  14.940  23.030   7.670   0.359   3.715
  30.500  14.940  23.030  20.627   0.364   5.304
  31.500  14.940  23.030  16.340   0.369   2.610
  32.500  14.940  23.030  21.484   0.373   5.193
  33.500  14.940  23.030  21.496   0.378   6.479
  34.500  14.940  23.030  22.947   0.382   7.015
  35.500  14.940  23.030  24.116   0.386   8.235
  36.500  14.940  23.030  24.168   0.390   6.667
  37.500  14.940  23.030  23.030   0.395   3.442
  38.500  14.940  23.030  23.373   0.399   4.338
  39.500  14.940  23.030  20.545   0.400   4.000
  40.500  14.940  23.030  12.887   0.401   8.297
  41.500  14.940  23.030  12.762   0.401   7.866
  42.500  14.940  23.030  20.261   0.402   7.427
  43.500  14.940  23.030  25.405   0.403   7.690
  44.500  14.940  23.030  24.970   0.404   7.516
  45.500  14.940  23.030   7.947   0.405   7.484
  46.500  14.940  23.030   6.320   0.406  11.337
  47.500  14.940  23.030  15.540   0.408   6.542
  48.500  14.940  23.030   7.622   0.410   7.993
  49.500  14.940  23.030  24.273   0.412   5.373
  50.500  14.940  23.030  10.933   0.413   4.699
  51.500  14.940  23.030  24.082   0.415   3.261
  52.500  14.940  23.030  10.080   0.417   4.042
  53.500  14.940  23.030   4.572   0.416   3.881
  54.500  14.940  23.030   6.859   0.415   3.586
  55.500  14.940  23.030  28.020   0.414   4.126
  56.500  14.940  23.030  27.596   0.413   3.086
  57.500  14.940  23.030  16.046   0.412   2.570
  58.500  14.940  23.030  29.111   0.412   4.940
  59.500  14.940  23.030  10.391   0.411   7.512
  60.500  14.940  23.030   8.894   0.413   5.803
  61.500  14.940  23.030  21.221   0.416   5.258
  62.500  14.940  23.030  15.460   0.418   3.507
  63.500  14.940  23.030  27.038   0.421   7.857
  64.500  14.940  23.030   9.858   0.423   9.925
  65.500  14.940  23.030  35.299   0.426   5.817
  66.500  14.940  23.030   9.908   0.429   7.935
  67.500  14.940  23.030  31.183   0.435   2.922
  68.500  14.940  23.030  33.428   0.442   4.959
  69.500  14.940  23.030  38.047   0.449   2.246
  70.500  14.940  23.030  38.912   0.456   2.697
  71.500  14.940  23.030  28.376   0.463   3.693
  72.500  14.940  23.030  39.086   0.469   5.312
  73.500  14.940  23.030  12.410   0.476   8.002
  74.500  14.940  23.030   7.923   0.480   3.474
  75.500  14.940  23.030  42.018   0.483   6.251
  76.500  14.940  23.030  35.292   0.486   5.455
  77.500  14.940  23.030  35.447   0.490   6.055
  78.500  14.940  23.030  41.316   0.493   2.880
  79.500  14.940  23.030  38.933   0.497   3.482
  80.500  14.940  23.030  29.498   0.500   2.805
  81.500  14.940  23.030  44.988   0.500   3.162
  82.500  14.940  23.030  34.920   0.500   3.991
  83.500  14.940  23.030  24.830   0.500   7.494
  84.500  14.940  23.030  29.195   0.500   4.715
  85.500  14.940  23.030  44.411   0.500   3.247
  86.500  14.940  23.030  19.295   0.500   6.102
  87.500  14.940  23.030  33.912   0.500   8.411
  88.500  14.940  23.030  40.031   0.500   6.103
  89.500  14.940  23.030  45.851   0.500   2.912
  90.500  14.940  23.030  47.893   0.500   4.597
  91.500  14.940  23.030  46.149   0.500   3.564
  92.500  14.940  23.030  24.107   0.500   7.369
  93.500  14.940  23.030  43.910   0.500   5.092
  94.500  14.940  23.030  22.655   0.500   4.779
  95.500  14.940  23.030  50.725   0.504   3.915
  96.500  14.940  23.030  49.406   0.509   5.149
  97.500  14.940  23.030  27.592   0.513   4.917
  98.500  14.940  23.030  48.586   0.517   3.635
  99.500  14.940  23.030  50.232   0.521   2.649
 100.500  14.940  23.030  47.485   0.526   2.710
 101.500  14.940  23.030  49.141   0.530   4.492
 102.500  14.940  23.030  56.283   0.533   2.528
 103.500  14.940  23.030  49.524   0.537   4.848
 104.500  14.940  23.030  45.057   0.540   5.600
 105.500  14.940  23.030  23.022   0.543   7.527
 106.500  14.940  23.030  24.633   0.547   6.783
 107.500  14.940  23.030  57.593   0.550   3.062
 108.500  14.940  23.030  33.676   0.554   7.586
 109.500  14.940  23.030  40.518   0.558   4.910
 110.500  14.940  23.030  50.082   0.562   4.687
 111.500  14.940  23.030  53.071   0.566   4.728
 112.500  14.940  23.030  54.967   0.571   6.811
 113.500  14.940  23.030  58.471   0.575   8.229
 114.500  14.940  23.030  61.271   0.579   4.131
 115.500  14.940  23.030  59.223   0.583   5.330
 116.500  14.940  23.030  44.805   0.582   5.450
 117.500  14.940  23.030  60.575   0.582   3.089
 118.500  14.940  23.030  50.469   0.581   3.178
 119.500  14.940  23.030  62.006   0.580   3.254
 120.500  14.940  23.030  55.572   0.579   3.150
 121.500  14.940  23.030  42.911   0.578   4.923
 122.500  14.940  23.030  43.648   0.577   6.301
 123.500  14.940  23.030  36.336   0.578   7.963
 124.500  14.940  23.030  60.397   0.579   3.411
 125.500  14.940  23.030  64.607   0.580   3.063
 126.500  14.940  23.030  64.469   0.581   3.055
 127.500  14.940  23.030  25.560   0.582   5.308
 128.500  14.940  23.030  51.330   0.582   5.336
 129.500  14.940  23.030  58.652   0.583   2.999
 130.500  14.940  23.030  66.573   0.583   2.844
 131.500  14.940  23.030  66.674   0.583   2.611
 132.500  14.940  23.030  66.686   0.583   3.085
 133.500  14.940  23.030  65.747   0.583   3.715
 134.500  14.940  23.030  46.427   0.583   4.124
 135.500  14.940  23.030  53.085   0.583   4.911
 136.500  14.940  23.030  61.927   0.583   1.791
 137.500  14.940  23.030  66.244   0.587   1.921
 138.500  14.940  23.030  68.340   0.590   3.486
 139.500  14.940  23.030  68.321   0.594   3.380
 140.500  14.940  23.030  66.352   0.597   2.372
 141.500  14.940  23.030  53.112   0.600   1.945
 142.500  14.940  23.030  43.963   0.604   3.659
 143.500  14.940  23.030  49.160   0.607   2.785
 144.500  14.940  23.030  53.453   0.613   1.991
 145.500  14.940  23.030  68.876   0.619   2.019
 146.500  14.940  23.030  67.567   0.625   2.442
 147.500  14.940  23.030  57.871   0.631   3.385
 148.500  14.940  23.030  63.312   0.637   3.545
 149.500  14.940  23.030  71.684   0.643   5.080
